AGEP,SEX,SCHL,MAR,OCCP,WKHP,COW,CIT,RAC1P,DIS,HICOV,NATIVITY,income_label
16,1,13,5,4120,40,1,1,1,1,1,1,0
32,2,22,1,540,40,1,5,6,2,1,2,0
39,1,21,5,110,40,1,1,1,2,1,1,1
93,1,23,1,4120,40,1,1,1,2,1,1,0
88,2,21,1,4120,40,1,1,1,2,1,1,0
16,1,13,5,4251,26,3,1,2,2,1,1,0
73,1,14,1,4120,40,1,1,1,1,1,1,1
93,2,16,2,4120,40,1,1,1,1,1,1,0
44,1,21,1,9825,40,5,1,1,2,1,1,1
61,1,8,1,6520,40,1,4,9,2,1,2,1
68,2,14,2,4120,40,1,1,1,2,1,1,0
8,1,4,5,4120,40,1,1,8,2,1,1,0
40,2,16,4,5240,40,1,1,1,2,1,1,0
53,1,16,1,4850,40,1,1,1,2,1,1,1
23,1,19,5,220,50,8,1,1,2,1,1,0
28,1,19,1,4251,8,6,1,1,1,1,1,0
58,1,16,5,4220,40,3,3,9,1,1,1,0
29,2,22,5,1720,40,5,1,2,2,1,1,1
58,1,21,1,120,40,1,1,1,2,1,1,1
69,2,20,1,4120,40,1,1,2,1,1,1,0
7,1,3,5,4120,40,1,1,8,2,1,1,0
6,2,3,5,4120,40,1,1,9,2,1,1,0
12,1,8,5,4120,40,1,1,1,2,1,1,0
32,1,19,1,7140,40,5,1,1,2,1,1,1
77,1,13,2,4120,40,1,1,1,1,1,1,1
50,1,19,1,910,40,1,1,1,2,1,1,1
53,2,19,1,4120,40,1,1,1,2,1,1,0
42,1,16,5,4120,40,1,1,1,1,1,1,0
41,1,19,1,8990,60,1,1,1,2,1,1,1
46,2,18,1,3323,40,1,1,1,2,1,1,0
83,1,17,1,4120,40,1,1,1,1,1,1,0
40,2,19,1,3323,40,1,1,1,2,1,1,0
15,1,12,5,4120,40,1,1,1,2,1,1,0
22,2,21,5,2310,40,1,1,1,2,1,1,0
68,2,16,3,4120,40,1,1,9,1,1,1,0
46,1,20,5,3402,40,1,1,9,1,1,1,0
